Opinion;Rating
Never had the chance to read this series while it was ongoing but now that the last book is done a friend of mine talked me into reading the first book and I have to say I enjoyed it more then I thought I would. I don't want to give anything away so I'll just say it's a solid story with characters you will grow attached to. I don't think anyone will be disappointed by taking the time to read this book or this series. Enjoy.;3
The book constinly mentions game of thrones people and places such as chapter 14 the lion and the stag and aemon and wolves in the forest seriously this guy likes hi game of thrones;positive
I so enjoyed this series, one of the best fantasy fictions books I have read in a while. I was sad for the series to end, but what a good take me away to another world series where good triumphs over evil!;positive
The best fantasy series I have ever read!!! I am just starting the 14th book so I don't know how it ends but it is an amazing journey.;positive
This is a very good book. Read it!!!!!!!!!!!!!!!!!!!;positive
Very good, intriguing, fresh. I read this book(paper back) yrs ago, but wanted a refresher.. it is as good now as it was then. I am anxious to get the whole series.. I enjoy reading on my Nook.. the only thing I miss is the 'smell' of a new book!;positive
It's a great beginning to a series. Now that the last book is about to be released... It's a great time to start read this excellent series. Fresh ideas, characters and delivery of it all. Though a bit slow in some parts... awesome action and adventure for all ages. One of the best starts to a series that I've read in years.;positive
Love these books!;positive
This has to be one of the best series since The Lord of the Rings A must read for the fantasy adventure lover!;positive
Robert Jordan has captured my attention since this book came out. I was only 15 when I started reading this epic series. I have read and re-read the entire series at least twice a year ever since book eight. I have not found another author nearly as captavating. Thank you, your life will be celebrated forever through these books;positive
If i could i would have given this book zero stars. The plot was boring, the characters never did anything, and you just felt like the book was droning on. I have never put a book down in all my life, but this story was so pathetic that i put it down after the first 10 or so chapters. Te dialouge was absoutely terrible, not only did it make no sense but it also was very boring. Not oce did i like this book. Also, the author goes on describing things that are irrelevant to the story, making an overly long book. All in all this book was TERRIBLE.;positive
For years i have put off reading this series because its description didnt seem like it was my style. Turns out i really love this book. The story is so deep and the world so detailed. It is so easy to get lost in this world. Im starting the second immediatly;negative
The first in a long, long series. It starts off strong but tapers off as you dive in. Still worth it. But by the 100th braid tug. Or 60th new character in a endless sea of who? You sort of start skimming.;positive
Just a little tedious and long winded, characters are simplistic but the world imagined is pretty great. I will likely read the next in the series but need some time to muster the energy.;positive
I didn't even get to read the actual 1st chapter. I don't even know if I like it or not. I only got to read the author's notes and that ended on page four. Thanks a lot Barnes n' Noble not.;3
One of my favorite series. The first book is honestly one of the best. The series does get a bit boring as it goes on, but by the end you won't be able to stop reading.;negative
The sample is exactly 4 pages long, one of which is the cover, with the others simply being capsule reviews of the novel. Four. Pages. Utterly useless and insulting. If it were the greatest novel ever written, I'd have no way to know.;positive
This book opens up for a breath taking that is unparalleled, one of the best books and series i have ever read.;negative
A truly legendary fantasy series.;positive
Robwrt Jordan ended an epic fantasy trope by creating something no decent authir would ever want to follow again. The story of how some young farmboys can turn around to lead the world.;positive
I have never read a book like this, the imagery so vivid, the characters so lifelike, you felt like you were right there with them. Great book, well worth the time by an amazing author.;positive
Just finished Eye of the World, with mixed thoughts. Some of the characters become your friends, and this writing style made it a slow read for me. This made me want to read every night - to see what my friends were up to. I agree with others though, the travelling got monotonous and drug out too long. I found myself saying get there already! Worth a read if you are ok grinding through this stuff. After hearing other people say this is the slowest in the series I'll probably give the next book a try, but not until I've had a few, quicker books to give me a break.;positive
I have heard great things about The Wheel of Time since I can remember, but after 400 pages I'm giving up. Now I'm normally not a quitter, I made it through the fourth book in Game of Thrones and I thought THAT was a slow book, but I'm finally giving up on this. It would be one thing if the story was compelling, then I could get beyond the poor writing, but I've reached the end of my patience. I can only assume that later on in the series the writer finds a groove and the story gets interesting and that's what all the hype is about, but regretfully I'm not sticking around. You lost me at slowly his breathing slowed. Really? I'm very disappointed. $9 is too much to pay for this. Two stars for some original thoughts about magic use in a culture that fears it. Really wanted this to go somewhere. Bummer.;3
This series if the most amazing I have ever read, and I am a very avid reader. I LOVED this book, and it is by far the least compelling of the series, which should tell you how wonderful these books are!! Take the chance and read them all, you wont be disappointed!;negative
"Jenny Hiatt FDENG 201:41 Spring Semester Book Review Eye of the World Review The Eye of the World, book one in the Wheel of Time series by Robert Jordan, follows the story of Rand al'Thor, the son of a farmer in a small town in the Two Rivers country. He and his friends Mat Cauthon, Perrin Aybara, and others are forced to leave their land after a brutal attack by Trollocs, creatures of the Dark One. They journey with a woman, Moiraine, and her Warder, Lan. Moiraine is an Aes Sedai, someone who can wield the One Power to protect or destroy. As they travel they encounter many unexpected dangers. Through it all, it is unclear why Rand and his two best friends have been targeted by the Shadowspawn. But all of them have had disturbing dreams, suggesting that one or all of them are more than what they appear. My feelings toward it are mixed, but generally positive. It was an enjoyable, and a surprisingly fast read, considering it was over 800 pages. Overall, I think the book painted a wonderful, imaginative world, one with many more questions than answers. For every puzzles solved of explained, there were plenty of other riddles yet to be explored. It was an excellent setup for the rest of the series. The writing, although nothing spectacular, was smooth and never gave me pause or brought me out of the action. The universe seemed very well thought-out and consistent. The idea and interaction of the various creatures and factions created by Jordan were fantastic, and perhaps the most interesting part. The interactions become even more complicated with each new creature you meet, as their kind generally has their own feelings toward all of the factions introduced so far based on their cultural history. It is very well done. The fantastical aspects of this story are also very creative and entertaining, although many of them are awfully similar to their corresponding creature from The Lord of the Rings. In addition to that, I found Jordon&amp;rsquo;s characters to be extremely well written. He has created a group of sympathetic, confused, naive, brave, proud, wrongheaded (sometimes), and very human protagonists. He whisks them away from their comfortable home, a small rural village called Emond's Field, and thrusts them out into an adventure. He makes you like them and root for them and hope that, in the end, all of them make out okay. You wonder if you can really trust Moiraine, the inscrutable Aes Sedai who promises to protect them. You hope that the new friends they make on their journey -- Thom, Elayne, Loial -- also prove to be true. You get involved with them, and really get to know and care about each one. Unfortunately, the beginning was, quite frankly, boring. It took too long to get to the inciting incident, and even still I didn't become really interested until perhaps a third to halfway through the novel. Also, the writing is often heavy handed, especially when discussing nature. Jordan&amp;rsquo;s style is typical of most fantasy writers in that you sometimes wish that they could drop the eloquent description and get to the meat of the issue. In one instance, it took about half a page for Jordan to say, basically, &amp;lsquo;Rand stumbled and almost fell.&amp;rsquo; Furthermore, the trite characterization of his &amp;quot;strong female characters&amp;quot; got to be irritating at times.";positive
Excellent book. I can't believe there are 14 more books in this series! It's almost a full story in itself.;positive
I AM 13 AND I HAVE READ SOOOOOO MANY BOOKS IN MY SHORT LIFE, AND I JUST NEED TO SAY, THAT THIS BOOK IS THE BEST BOOK I HAVE EVER READ! I READ FANTASY AND SCIENCE FICTION ALL THE TIME (LIKE ERAGON AND STAR TREK) BUT YOU JUST GOT TO LOVE RAND AL'THOR! THIS SIMPLE FARMBOY IS DRAGGED INTO A LIFE OF EVIL MONSTERS, THE DARK ONE, AND THE ONE POWER! THE OTHER CHARACTERS LIKE PERRIN AND MAT ARE AWESOME TOO! OVERALL, THIS IS THE BEST BOOK I HAVE EVER JUMPED RIGHT INTO, AND IT'S THE BEST! BRING ON ALL 14! MAY THE DRAGON RIDE AGAIN ON THE WINDS OF TIME!;positive
Really annoying characters. The running gag about how men and women don't understand each other got old after the first chapter, and was never amusing. Plus, it seemed really cliched in places. Definitely not worth reading over a dozen books. I know because I've read the whole series so far. Trust me, it isn't worth it.;positive
Exceptional read where there is never a dull moment. In one word...EPIC!;negative
The sample only has comments about the book no real starter :( buts its a realy good book acording to my father! :);positive
This is an amazing series. The characters are dynamic and well developed. The story is captivating. Some of the female characters parts are kind of boring to me, but that is the only negative thing about this series. Blows game of thrones out of the water.;positive
The storyline and characters are amazing.;positive
Best fantasy series I have read!;positive
Wonderful characters, amazing plot, adventure and very exciting. Great writing, makes you feel there...;positive
This is one of my favorite series! It is very long, and the next books are even longer. The author goes into a lot of detail and back story. His grasp of the female mind and lack of female heroines gets way, way better in the later books. It can be hard to keep all of the characters and special words strait but there is a dictionary in the back for that.;positive
This adventure has a good flow through the meetIngs of the various characters and events. I look forward to more.;positive
Good story;positive
Why ramble. The best book i have ever read.;positive
Go look at this book in a brick and morter store, the preview sample is four pages long and doesn't even get past the recommendations. There is no content from the book to read. A friend suggested this series to me and I have no way of knowing if I will like it or not.;positive
"A must read! Hard to put down, even harder to stop thinking about! Rand , Perrin &amp; Mat are all amazing in their own unique way! Egwene , Nyneve &amp; Elaine are stong smart and full of susprises!! To much to love the stories within the stories keep the reader longing for more!!!! A must read!!!!";negative
I cannot believe I have not read this series before. A friend got me started and now I feel like I sure turn in my geek liscence because I have failed to read this series. If you have not read the Wheel of Time then SHAME ON YOU. RUN OUT AND READ IT NOW! DO not read any more here, go read these books!;positive
"There are two parts to this review, the quality as an audio book and the quality as a novel. Luckily both are great. The audio is well recorded and acted. There are two narrators, a male and a female. This works out great because the point of view flips from male to female across chapters. This brings up one of the great aspects of this story, great characters. Most stories tend to revolve around a single character, all other characters simply orbiting the main character. There is a main character in Eye of the World, but the other characters have such well developed personalities and goals, you can forget they aren&amp;rsquo;t the main character. The story could be boiled down to a basic prophesied hero story, but due to the characters it is so much more. It is hard to talk about this book with giving anything away. Each event is an integral weave in the entire pattern of the story. I can say that when the characters are in danger I felt tense and when they laugh, I smiled along. Every obstacle I found myself cheering the characters on while at the same time fearing the worst for them. It is a rather epic story. It is the first volume in a series of 14. I really can&amp;rsquo;t wait to dive into the rest of the series. Reviewed by Chris for Book Sake.";positive
"Thia book was one of the best fantasy books I have ever read. I read parts of this book thinking about how amazing the writer was during that part; leaving out no details.";positive
"I did a tremendous research prior to purchasing this book, as I always do to any other authors. I must say,it has a strong positive feedback. Wheel of Time (WOT) is a long series &amp; Im incline to finish it-same motivation when I decided to finish Raymond Feist Chaos Of War series (check that out too). Brandon Sanderson, one of my favorite author (especially the Mistborn series!) was chosen to finish the final three books of WOT. woot wooot! Enjoy reading!";positive
I'm a new arrival to this writers work. I think this was one of the writer's first books. I like a wide variety of books including urban fantasy and world building books that have good character development, and that move at a fairly fast pace. I liked the characters in the book early on and found the plot interesting. My biggest complaint was there seemed to be pages and pages in which nothing was happening in regards to the main story. Those parts of the story added little in terms of cleverness, humor, or character development. I had to force myself to keep reading. This is not what I want to have to do when I read. Having said that I understand this was one of the writers first books, and I think this is a long series- so maybe the slow bits get better as the writer develops.;positive
A good book. Looks like it could be a good series.;3
I have read this series over a dozen times and each reading brings about a deeper appreciation for Jordans unmatched skill as a writer, no, creator of a world so complete ta you fall into it and neer wis to leave again.;positive
Loved the story! Racing for number two in the series!;positive
I really enjoyed reading the wheel of time series. Since I started reading this series in 2002 I have gotten 6 others hooked, and half of them are not science fiction readers. The best part about this series is that Robert Jordan does not distroy the characters like Goerge R.R. Martin does in his Song of Ice and Fire series.;positive
Great story of adventure.;positive
G;positive
Awesome!!!!!;positive
I LOVE IT! I'm not done and I don't care how it ends. Its awsome!!!;positive
This was a Christmas gift for my son. He loved it!;positive
Great;positive
Good Points It's obvious that mr. Jordan was an EXCELLENT writer. His description is great and most of the dialogue is really good. I'm pulling for most of the characters and really want to know what happens to them. Bad Points Is it me or is does this book have almost the same plot as fellowship of the ring by JR Tolkein? Scary guy in black cape chasing the MC who is a country farm boy that gets tossed into an adventure... I mean I know that the rest of the series is different so I'm trying to look past this, but it irks me a little. Also, it's a touch slow... I feel like there are a ton of cool subplots that Jordan wants to let us in on so he cooks up these conversations so he can drop hints about it. I feel like he could've just let them happen more organically. That said, i've only read the first book so we'll see how the rest goes...;positive
I hated reading before this book. I was in high school and I just happened to pick it up and I was hooked. I now own all the hard covers and would recommend this to everyone. If it wasnt for this series I probably wouldnt have started to enjoy reading,;3
I happily started this series when i was 18 yrs old...im currently reading book 13 and definitely loving it! My kids and family dont give me quite the time i need to continue consistantly...but happy to have them both!! Can't wait to get to the end! Then again i might be sad when my fantasy as come to an end. RIP Robert you will be sorely missed and honored for Lifetimes!! ~Arika;positive
5TH OR 6th reading .;positive
Going now to buy all the rest in series! I can't wait to continue on with Rand and his great adventure!;positive
I finished the 13th book yesterday and loved every minute of it. Well written, my only qualm with the series was that books 8-10 were a little slow but to put together a world of this size and depth you have to understand that it takes a little time to prepare for finale. Robert Jordan/ Brandon Sanderson def did a wonderful job at it. The last 3 books were as amazing as the 1st 6. Dont start the WOT Series unless u plan on spending the time needed to read them all. All in all they are wonderful and im very glad to have read them. One other thing is as much as i love the convience of my Nook Color,i wish i would have bought paper copies to have im my bookcase, because by the end u really feel as if youve undertaken a journey and will want to shown them off! Def worth the time, effort and money. BUY THEM YOU WONT REGRET IT!;positive
to long to get to any point.;positive
I have read the series four times now and enjoy it as much As i did the first time.;negative
Awsome book;positive
An all time favorite, the one that started it all.;positive
Just reread this epic novel after almost a decade and it was every bit as good as I remembered. Great characterization and a wonderfully intricate plot. Anyone wanting a more mature fantasy novel should definately get this book. Very fun to read and has enough twists to keep the reader guessing. The book doesn't give anything away easily. The Eye of the World has as much right to be called a classic fantasy as The Lord of the Rings.;positive
"I have been reading this series for a looonng time waiting for the last book to be released. This is one of my favorite stories of all time. It can drag at times but stick with the series. I have faith in Jordan&amp;Sanderson. Im sure I will be wanting more when its all over.";positive
Looking forward to the last book!;positive
This tale of adventure held me at every word, taking my breath with every page and could not wait till the end of the day so I could read it. It was slow in the beginning but excelled with every chapter. I hope it is you choose this book, for it is packed with action. Please enjoy....;positive
Wow! What a great read! I read several of the reviews before i bought this and they had a theme of it being a slow read, not true. This book has much going on that u dont learn the background on until later, and so many different 'scenes' if you will. The style of writing is so smooth andeasly read while engaging the mind. Will be moving on to the next book for sure!;positive
Trust me, if you love a good fantasy, this book is amazing.;positive
I checked this book out at the library and couldn't put it down! I rushed out and bought the whole series immediately and spent many sleepless nights diving into this mystical world that Robert Jordan (and current author Brandon Sanderson) has created. There are some books that have some slow moments as the author delves into the various plots surrounding the characters, however, each book has exciting, climatic moments that make you want to continue reading and never put the books down. The character development, scope of characters and the general magnitude of the story line makes this series phenomenal. A DEFINITE MUST READ for any sci-fi/fantasy reader. I marked it 4 Stars due to the unfolding of some events being too far apart and repetitive.;positive
I feel this book is good, but not great. Long winded and lost me at times, but I admire anyone who can create such an epic tale. I'm reading book two right now.;positive
The books may be long, but that's just so the whole magic can be captured in detail. I've read the entire series twice and I have only just started four years ago. I truly get lost in these books due to the vivid descriptions of locations and people and the different cultures, and also the characters themselves. Jordan had created his own world and it's a shame to lose such a wonderful author who clearly had a talent of crafting such a world so flawlessly. With so many characters, and the switching of point-of-views, you can no doubt find a favorite character and continue to read on to find what he or she do next. Within the main plot are lots of sub-plots that help the story along and continue to add answers and questions for the reader. I could not put down these books easily and would read 100 or more pages a day. If you love fantasy, you MUST READ THESE BOOKS;positive
The characters are full and intriguing, the plot is complex and twisting, I never get tired of reading and re-reading this wonderful story! Every fantasy fan should read this one!;positive
Everybody should read this book it is the best;positive
It's a good book. Not great. Pace of the beginning is slow, picks up in the middle, and then the end is very fast. Has common themes and conventions found in fantasy novels of the 70's and 80's. Nothing novel but a good read overall.;positive
This is by far the slowest paced book in the series, and it took me a while to get into it, but now, 11 books later I can honestly say it only gets better, and better and better. Now one of my of my all time favorites.;3
Wow! As good as Lord of the Rings without the wordiness. This is the rare book i will purchase in hard back for my library. I am sure this is a classic. Usually I trend towards mystery, classics, sometimes mindless fiction. Glad I read it! I WOULD HIGHLY RECOMMEND IT!;positive
This book is like a lot of the fantasy adventure books which move slowly at first but pick up somewhere in the middle. I started getting into it around the middle and am now interested in reading the next one. There are some foreshadowing that I cannot wait to see what happens in the next books.;positive
"I was never a fantasy reader, my spouse had all the books and 'bugged' me to read them. I happenend to find myself with more time than i wanted and a desparate need to forget the world we live in, so i finally gave it a try. The book is falling apart and i had to keep track of where the pages were... but oh dear help me if i did not read all available books in the span of about three month! All . One after the other. That was about a year ago, i love the world RJ created and can not help but wanting to read them again, so glad this time around i can 'hold' on to the pages in one piece. The world of Rand, Matt, Perrin &amp; Egwin at. al., is a wonderful substitute for when one needs to escape from this reality. I will be sad when the story finally ends with the last book yet to be published. I wonder how many re-reads i can get in ... AND i have to admitt that my spouse knows me better than i thought.... there, i said it...and thanks for holding on to the tethered pages of the first book, we can put it to rest now.";positive
I haveloved this series for so many years since i was a boy get them all and listen to keans hopes and fears album when reading them;positive
I picked up book one after multiple recommendations. I became glued to the series. Grateful that the nook has this series, as now I can ship back the other 12 books and not have to carry them all over Afghanistan like I have been doing.;positive
I allways liked this book but on this it is even better;positive
